year,EW,cases
2016,1,0
2016,2,0
2016,3,0
2016,4,0
2016,5,0
2016,6,0
2016,7,0
2016,8,0
2016,9,0
2016,10,0
2016,11,4
2016,12,4
2016,13,4
2016,14,4
2016,15,3
2016,16,0
2016,17,0
2016,18,0
2016,19,0
2016,20,0
2016,21,4
2016,22,0
2016,23,0
2016,24,0
2016,25,0
2016,26,0
2016,27,0
2016,28,0
2016,29,0
2016,30,0
2016,31,0
2016,32,0
2016,33,0
2016,34,0
2016,35,0
2016,36,0
2016,37,0
2016,38,0
2016,39,0
2016,40,0
2016,41,0
2016,42,0
2016,43,0
2016,44,0
2016,45,0
2016,46,0
2016,47,0
2016,48,0
2016,49,4
2016,50,3
2016,51,17
2016,52,32
2017,1,87
2017,2,137
2017,3,115
2017,4,87
2017,5,42
2017,6,30
2017,7,24
2017,8,20
2017,9,20
2017,10,13
2017,11,22
2017,12,25
2017,13,28
2017,14,22
2017,15,21
2017,16,17
2017,17,10
2017,18,4
2017,19,6
2017,20,4
2017,21,0
2017,22,0
2017,23,3
2017,24,3
2017,25,3
2017,26,3
2017,27,0
2017,28,4
2017,29,3
2017,30,3
2017,31,0
2017,32,0
2017,33,0
2017,34,0
2017,35,0
2017,36,0
2017,37,0
2017,38,3
2017,39,0
2017,40,3
2017,41,0
2017,42,0
2017,42,0
2017,44,0
2017,45,4
2017,46,3
2017,47,4
2017,48,3
2017,49,5
2017,50,5
2017,51,12
2017,52,42
2018,1,91
2018,2,141
2018,3,195
2018,4,144
2018,5,82
2018,6,62
2018,7,92
2018,8,46
2018,9,19
2018,10,0
2018,11,0